anio,mineral,etapa,valor_total_usd,destino_principal,share_principal,share_china,share_eua,n_destinos
2000,barita,E2 Quimicos de bario,6493317.0,Estados Unidos,0.9996,0.0,0.9996,2
2000,cobre,E1 Mena/concentrado,115701455.0,Estados Unidos,0.5181,0.0045,0.5181,8
2000,cobre,E2 Metal en bruto/refinado,224508642.0,Estados Unidos,0.991,0.0,0.991,8
2000,cobre,E3 Semimanufacturas,405534456.0,Estados Unidos,0.8816,0.0058,0.8816,43
2000,cobre,E4 Manufacturas,47581051.0,Estados Unidos,0.9607,0.0,0.9607,34
2000,fluorita,E1 Espato fluor (crudo),29324727.0,Canada,0.2823,0.0,0.1944,17
2000,fluorita,E2 Fluoroquimica,112474431.0,Estados Unidos,0.8225,0.0,0.8225,15
2000,grafito,E1 Grafito natural,2392258.0,Estados Unidos,0.8682,0.0058,0.8682,5
2000,grafito,E2 Grafito artificial/prep.,12771199.0,Estados Unidos,0.6638,0.0,0.6638,10
2000,grafito,E3 Electrodos/articulos de carbono,53957736.0,Estados Unidos,0.7846,0.0,0.7846,26
2000,manganeso,E1 Mena/concentrado,3726255.0,Estados Unidos,0.352,0.0,0.352,20
2000,manganeso,E2 Ferroaleaciones,47135944.0,Estados Unidos,0.7845,0.0,0.7845,18
2000,manganeso,E3 Quimicos/metal,1953211.0,Espana,0.4427,0.0,0.2645,12
2000,oro,E1 Mena/concentrado,5583174.0,Canada,0.3807,0.0,0.3447,4
2000,oro,E2 Bruto/semilabrado,77883164.0,Estados Unidos,0.4565,0.0,0.4565,6
2000,oro-plata (manufacturas),E4 Joyeria/orfebreria,354905469.0,Estados Unidos,0.9626,0.0,0.9626,62
2000,plata,E1 Mena/concentrado,108222.0,Estados Unidos,1.0,0.0,1.0,1
2000,plata,E2 Bruto/semilabrado,431696439.0,Estados Unidos,0.5782,0.0,0.5782,16
2000,plomo,E1 Mena/concentrado,13009691.0,Canada,0.406,0.2695,0.1814,4
2000,plomo,E2 Metal en bruto/refinado,10457702.0,Estados Unidos,0.9148,0.0,0.9148,11
2000,plomo,E3 Semimanufacturas,50281.0,Estados Unidos,0.8941,0.0,0.8941,2
2000,plomo,E4 Manufacturas,1329007.0,Estados Unidos,0.711,0.0,0.711,13
2000,silice,E1 Arena silica/cuarzo,641074.0,Estados Unidos,0.8069,0.0,0.8069,9
2000,silice,E2 Silicio/ferrosilicio/SiO2,7071376.0,Estados Unidos,0.2332,0.0,0.2332,18
2000,zinc,E1 Mena/concentrado,77057234.0,Belgica,0.2504,0.0299,0.0726,17
2000,zinc,E2 Metal en bruto/refinado,126606485.0,Estados Unidos,0.7729,0.0,0.7729,14
2000,zinc,E3 Semimanufacturas,14230694.0,Estados Unidos,0.9884,0.0,0.9884,9
2000,zinc,E4 Manufacturas,4177312.0,Estados Unidos,0.9236,0.0,0.9236,8
2001,barita,E1 Crudo/molido,560838.0,Panama,0.8269,0.0,0.1252,5
2001,barita,E2 Quimicos de bario,4674324.0,Estados Unidos,0.9974,0.0,0.9974,2
2001,cobre,E1 Mena/concentrado,39768255.0,Peru,0.3132,0.0878,0.0674,8
